client_id,first_name,last_name,email,phone,client_type,preferred_city,budget,signup_date,is_active
1,jasmine,carter,,(938) 196-5796,RENTER,sf,4794490.87,08-02-2024,0
2,AUTUMN,ROBBINS,jasonhensley@example.org,(116) 051-3297,renter,San Diego,,2025-09-05,False
3,kevin,hernandez,john65@example.org,388-304-2159,Buyer,ANAHEIM,4006782.93,03/26/2026,0
4,Lonnie,Howell,prasmussen@example.org,123-533-7207,renter,BAKERSFIELD,1253500.73,22-08-2025,False
5,JUSTIN,ABBOTT,jenniferanderson@example.com,(941) 366-6039,both,Fresno,1466251.69,29-10-2024,1
6,sean,newman,lisa08@example.net,5223229950,Renter,Los Angeles,990708.96,2024-01-20,1
7,Michele,James,jamesduncan@example.com,+1-368-397-3604,SELLER,LOS ANGELES,4396555.75,28-07-2024,True
8,James,Ward,adam29@example.com,725-974-9022,both,San Diego,3882990.36,09-01-2024,False
9,ALYSSA,GARZA,,9014476388,buyer,OAKLAND,3689977.32,16-12-2023,False
10,KENNETH,RAMIREZ,denisejohnson@example.org,(662) 486-2123,BUYER,sacramento,3519420.91,31-12-2025,false
11,Matthew,Ballard,graykevin@example.net,226.485.2862,seller,la,,13-02-2024,0
12,JACQUELINE,JONES,thomas04@example.org,(695) 859-8998,both,la,643023.63,2025-08-14,True
13,judy,singh,alexanderstephanie@example.com,(476) 793-5436,both,los angeles,4052666.38,04/02/2026,false
14,AMANDA,KING,mitchell10@example.org,8449943105,BOTH,san jose,"$1,387,724",22-12-2025,True
15,william,bell,dominguezsavannah@example.com,934-958-7974,renter,San Francisco,,2023-11-06,True
16,Victoria,Beck,joshuaparker@example.org,+1-460-421-4300,seller,OAKLAND,,2024-01-09,1
17,gabriel,allen,tarajohnson@example.org,(991) 119-7014,seller,BAKERSFIELD,"$3,708,192.80",05/05/2025,False
18,robert,robles,charles44@example.net,,renter,Bakersfield,3831676.13,11/16/2025,false
19,JESSICA,JACKSON,melanieblevins@example.com,064.080.6887,Both,Sacramento,4397106.87,26-01-2025,True
20,Nathan,Alvarez,riverajeffrey@example.com,007-158-0566,Seller,Long Beach,,09-09-2023,0
21,john,foley,grant92@example.net,333-034-5143,Renter,San Francisco,,15-04-2024,false
22,Rebecca,Allen,veronica98@example.com,+1-298-294-0148,renter,BAKERSFIELD,"$4,474,857",10-03-2024,true
